Date	Speakers	Title	Description	YouTube ID	Non-YouTube landing page	Slides landing page	Transcript	Slides download URL	Talk download URL	Start time	End time	Conference landing page	Default image	GitHub username	Training material	Installation	Type	Target audience	Language
2024-09-03	Alvin Stockdale, Peter Seibert, Amber Leahy, Nana Boateng	NLM’s Dataset Catalog and an updated to Data Explorer	The US NIH National Library of Medicine released a beta version of their Dataset Catalog. Also, Borealis released a new version of Data Explorer.		https://harvard.zoom.us/rec/share/WvyFTGmh5Rq0n0rnmCFTSRngs8tANaSPvA0VCPxzkVmh5Qg9-FrdfLCE6uQKOptS.ghIzSLcEZIN9EXfm	https://groups.google.com/g/dataverse-community/c/wwyvKXGCKRE/m/ErykmU-aAQAJ													
2024-08-06	Jan Range	A Rust library, a CLI and a DVUploader desktop app	Jan has developed a new Rust library for Dataverse that includes a "dvcli" command line interface. A graphical DVUploader was demoed as well.		https://harvard.zoom.us/rec/share/3P2MSg1YAKDpM7GZX7Ya2eCjSqenJTFofciBTmOwhcL-xKUlKWDXGZkpfk4DZnm5.FdHMoVwCUKGhAbjk	https://www.dropbox.com/scl/fi/zrj214bs42bbttmftme80/Rust_Dataverse_Range_2024.pdf?rlkey=t8awg4vtg2i3nrwgzvv1bas7v&st=7f8v0eip&dl=0								JR-1991					
2024-06-28	Dieuwertje Bloemen, Ozgur Karadeniz	KU Leuven Review Dashboard	Tracks dataset reviews and semi-automates feedback generation.		https://kuleuven.mediaspace.kaltura.com/media/KU+Leuven+Review+DashboardA+screen+recording/1_fuuts6ic														
2024-05-28	Slava Tykhonov	Dataverse, Large Language Models and knowledge graphs			https://drive.google.com/file/d/1ir5ANHBZmFqtKYTLptabRlzu_oiA9sZD/view?usp=sharing	https://docs.google.com/presentation/d/1wLtGx1NtQX8PP3IfDHzFVSq3VOaLE3gMaVPVFewlceU/edit?usp=sharing								4tikhonov					
2024-05-03	Ceilyn Boyd	Transforming a Digital Collection into a Data Collection	A discussion of the Slavery, Abolition, Emancipation, and Freedom (SAEF) Data Collection, an open access research dataset representing over 1200 items in Houghton Library’s SAEF collection. The SAEF Data Collection is Harvard Library’s first major endeavor to represent a significant print collection as data, supporting research methodologies involving computational analysis of images, Optical Character Recognition (OCR) text, and machine-generated transcriptions of manuscript materials. 		https://hu-my.sharepoint.com/:v:/g/personal/alessandra_seiter_hks_harvard_edu/EfyiIGjMw8xGmSLHSdcPnjYBklqHIUXD6HgnpxZld4V9VQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=qf34GF	https://docs.google.com/presentation/d/1Pc5jwZD2_kzz01SQeaZhYLPc7x_ltyOKRkUfEbkZQi4/edit?usp=sharing								cmbz					
2024-04-11	The Dataverse Community	Dataverse Community Meeting Tenth Anniversary Retrospective Slideshow	A slideshow celebrating ten years of Dataverse Community Meetings.	dQSEJStNzeA															
2024-04-05	Philip Durbin, Oliver Bertuch, Jan Range	Distributed Metadata and Data with Dataverse	A talk given at <a href="https://distribits.live">Distribits 2024</a> covering distributed metadata, OAI-PHM, distributed data, future architecture for a mixed-style storage configuration in Jülich DATA, and the use of Dataverse APIs to manage data with Python.	jSzwAIqjq-o		https://dataverse.org/presentations/distributed-metadata-and-data-dataverse													
2024-04-02	Mark Roth	Memento	The goal of Memento is to ensure that data is reproducible and that accurate provenance is maintained in metadata. The Memento Framework does not pin itself to a specific programming language, back-end storage technology or compute framework. Rather, it focuses on a technique for generating and accessing data that preserves accurate metadata throughout. See more at: <a href="https://github.com/twosigma/memento">https://github.com/twosigma/memento</a>.		https://drive.google.com/file/d/1ABSjVs_TVrpKcAtQDcyL68A1BHQTazPu/view?usp=share_link									markroth8					
2024-03-15	ICPSR	TurboCurator: A new tool from ICPSR!	Securely create metadata using AI. Reliable study titles, descriptions, and keywords. Make your data more findable and reusable in only a few clicks. Harnessing the power of Next-Gen technology.  Using a standardized thesaurus developed by the world's leading social science data archive, TurboCurator can be enabled on any Dataverse instance. Ask your administrator to enable it today! 	Ac2GH_D5ZSI															
2024-03-08	Dataverse Community	Dataverse Community Meeting 2024 (March 8, 2024)		OTX432jGxIk															
